Monster,CR,Type,Subtype,Size,Align,Legendary?,Lair?,,,,,,,,,,,,,,,,,,,,
Aarakocra,1/4,Humanoid,Aarakocra,Medium,NG,N,N,,,,,,,,,,,,,,,,,,,,
Aboleth,10,Aberration,,Large,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Angel, deva",10,Celestial,,Medium,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Angel, planetar",16,Celestial,,Large,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Angel, solar",21,Celestial,,Large,LG,Y,N,,,,,,,,,,,,,,,,,,,,
"Animated object, animated armor",1,Construct,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Animated object, flying sword",1/4,Construct,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
"Animated object, rug of smothering",2,Construct,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Ankheg,2,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Ape,1/2,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Ape, giant",7,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Awakened shrub,0,Plant,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Awakened tree,2,Plant,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Axe beak,1/4,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Azer,2,Elemental,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
Baboon,0,Beast,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Badger,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Badger, giant",1/4,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Banshee,4,Undead,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Basilisk,3,Monstrosity,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Bat,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Bat, giant",1/4,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Bear, black",1/2,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Bear, brown",1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Bear, polar",2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Behir,11,Monstrosity,,Huge,NE,N,N,,,,,,,,,,,,,,,,,,,,
Beholder,13 (14),Aberration,,Large,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Beholder, death tyrant",14 (15),Undead,,Large,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Beholder, spectator",3,Aberration,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Blight, neede",1/4,Plant,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Blight, twig",1/8,Plant,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Blight, vine",1/2,Plant,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Blink dog,1/4,Fey,,Medium,LG,N,N,,,,,,,,,,,,,,,,,,,,
Blood hawk,1/8,Beast,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Boar,1/4,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Boar, giant",2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Bugbear,1,Humanoid,Goblinoid,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Bugbear chief,3,Humanoid,Goblinoid,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Bulette,5,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Bullywug,1/4,Humanoid,Bullywug,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Cambion,5,Fiend,,Medium,E (any),N,N,,,,,,,,,,,,,,,,,,,,
Camel,1/8,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Carrion crawler,2,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Cat,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
Centaur,2,Monstrosity,,Large,NG,N,N,,,,,,,,,,,,,,,,,,,,
"Centipede, giant",1/4,Beast,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Chimera,6,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Chuul,4,Aberration,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Cloaker,8,Aberration,,Large,CN,N,N,,,,,,,,,,,,,,,,,,,,
Cockatrice,1/2,Monstrosity,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Couatl,4,Celestial,,Medium,LG,N,N,,,,,,,,,,,,,,,,,,,,
Crab,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Crab, giant",1/8,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Crawling claw,0,Undead,,Tiny,NE,N,N,,,,,,,,,,,,,,,,,,,,
Crocodile,1/2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Crocodile, giant",5,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Cyclops,6,Giant,,Huge,CN,N,N,,,,,,,,,,,,,,,,,,,,
Darkmantle,1/2,Monstrosity,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Death dog,1,Monstrosity,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Death Knight,17,Undead,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Deer,0,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Demilich,18 (21),Undead,,Tiny,NE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Demon, balor",19,Fiend,Demon,Huge,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, barlgura",5,Fiend,Demon,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, chasme",6,Fiend,Demon,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, dretch",1/4,Fiend,Demon,Small,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, goristro",17,Fiend,Demon,Huge,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, hezrou",8,Fiend,Demon,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, manes",1/8,Fiend,Demon,Small,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, marilith",16,Fiend,Demon,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, nalfeshnee",13,Fiend,Demon,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, quasit",1,Fiend,Demon,Tiny,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, quasit",1,Fiend,Shapechanger,Tiny,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, shadow",4,Fiend,Demon,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, vrock",6,Fiend,Demon,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, yochlol",10,Fiend,Demon,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demon, yochlol",10,Fiend,Shapechanger,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Demong, glabrezu",9,Fiend,Demon,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, barbed",5,Fiend,Devil,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, bearded",3,Fiend,Devil,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, bone",9,Fiend,Devil,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, chain",8,Fiend,Devil,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, erinyes",12,Fiend,Devil,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, horned",11,Fiend,Devil,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, ice",14,Fiend,Devil,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, imp",1,Fiend,Devil,Tiny,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, imp",1,Fiend,Shapechanger,Tiny,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, lemure",0,Fiend,Devil,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, pit fiend",20,Fiend,Devil,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Devil, spined",2,Fiend,Devil,Small,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Dinosaur, allosaurus",2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Dinosaur, ankylosaurus",3,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
"Dinosaur, plesiosaurus",2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Dinosaur, pteranodon",1/4,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Dinosaur, triceratops",5,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
"Dinosaur, tyrannosaurus rex",8,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Dire wolf,1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Displacer beast,3,Monstrosity,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
Doppelganger,3,Monstrosity,Shapechanger,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Dracolich (template),,Undead,,,,,,,,,,,,,,,,,,,,,,,,,
"Dracolich, blue, adult",17,Undead,,Huge,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
Dragon turtle,17,Dragon,,Gargantuan,N,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, black, adult",14,Dragon,,Huge,CE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, black, ancient",21,Dragon,,Gargantuan,CE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, black, wyrmling",2,Dragon,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, black, young",7,Dragon,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, blue, adult",16,Dragon,,Huge,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, blue, ancient",23,Dragon,,Gargantuan,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Dragon, blue, wyrmling",3,Dragon,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, blue, young",9,Dragon,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Dragon, brass, adult",13,Dragon,,Huge,CG,Y,Y,,,,,,,,,,,,,,,,,,,,
