Name,ChallengeRating,ChallengeXP,ACType,AC,STR,STRMod,DEX,DEXMod,CON,CONMod,INT,INTMod,WIS,WISMod,CHA,CHAMod,HPDice,HP,Artic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Alignment,Alignmet
Aarakocra,0.25,50,None,12,10,0,14,2,10,0,11,0,12,1,11,0,3d8,13,0,0,0,0,0,0,1,0,0,0,0,,Neutral Good
Adult Blue Dragon,16,15000,natural armor,19,25,7,10,0,23,6,16,3,15,2,19,4,18d12 + 108,225,0,1,1,0,0,0,0,0,0,0,0,,
Adult Red Dragon,17,18000,natural armor,19,27,8,10,0,25,7,16,3,13,1,21,5,19d12 + 133,256,0,0,0,0,0,0,0,0,0,0,0,,
Air Elemental,5,1800,,15,14,2,20,5,14,2,6,-2,10,0,6,-2,12d10 + 24,90,0,0,0,0,0,0,0,0,0,0,0,,
Allosaurus,2,450,natural armor,13,19,4,13,1,17,3,2,-4,12,1,5,-3,6d10 + 18,51,0,0,0,0,0,0,0,0,0,0,0,,
Animated Armor,1,200,natural armor,18,14,2,11,0,13,1,1,-5,3,-4,1,-5,6d8 + 6,33,0,0,0,0,0,0,0,0,0,0,0,,
Ankylosaurus,3,700,natural armor,15,19,4,11,0,15,2,2,-4,12,1,5,-3,8d12 + 16,68,0,0,0,0,0,0,0,0,0,0,0,,
Ape,"0,5",100,,12,16,3,14,2,14,2,6,-2,12,1,7,-2,3d8 + 6,19,0,0,0,0,0,0,0,0,0,0,0,,
Awakened Shrub,0,10,,9,3,-4,8,-1,11,0,10,0,10,0,6,-2,3d6,10,0,0,0,0,0,0,0,0,0,0,0,,
Awakened Tree,2,450,natural armor,13,19,4,6,-2,15,2,10,0,10,0,7,-2,7d12 + 14,59,0,0,0,0,0,0,0,0,0,0,0,,
Axe Beak,"0,25",50,,11,14,2,12,1,12,1,2,-4,10,0,5,-3,3d10 + 3,19,0,0,0,0,0,0,0,0,0,0,0,,
Baboon,0,10,,12,8,-1,14,2,11,0,4,-3,12,1,6,-2,1d6,3,0,0,0,0,0,0,0,0,0,0,0,,
Badger,0,10,,10,4,-3,11,0,12,1,2,-4,12,1,5,-3,1d4 + 1,3,0,0,0,0,0,0,0,0,0,0,0,,
Banshee,4,1100,,12,1,-5,14,2,10,0,12,1,11,0,17,3,13d8,58,0,0,0,0,0,0,0,0,0,0,0,,
Basilisk,3,700,natural armor,15,16,3,8,-1,15,2,2,-4,8,-1,7,-2,8d8 + 16,52,0,0,0,0,0,0,0,0,0,0,0,,
Bat,0,10,,12,2,-4,15,2,8,-1,2,-4,12,1,4,-3,1d4 - 1,1,0,0,0,0,0,0,0,0,0,0,0,,
Black Bear,"0,5",100,natural armor,11,15,2,10,0,14,2,2,-4,12,1,7,-2,3d8 + 6,19,0,0,0,0,0,0,0,0,0,0,0,,
Blink Dog,"0,25",50,,13,12,1,17,3,12,1,10,0,13,1,11,0,4d8 + 4,22,0,0,0,0,0,0,0,0,0,0,0,,
Blood Hawk,"0,125",25,,12,6,-2,14,2,10,0,3,-4,14,2,5,-3,2d6,7,0,0,0,0,0,0,0,0,0,0,0,,
Boar,"0,25",50,natural armor,11,13,1,11,0,12,1,2,-4,9,-1,5,-3,2d8 + 2,11,0,0,0,0,0,0,0,0,0,0,0,,
Brown Bear,1,200,natural armor,11,19,4,10,0,16,3,2,-4,13,1,7,-2,4d10 + 12,34,0,0,0,0,0,0,0,0,0,0,0,,
Bugbear,1,200,"hide armor, shield",16,15,2,14,2,13,1,8,-1,11,0,9,-1,5d8 + 5,27,0,0,0,0,0,0,0,0,0,0,0,,
Camel,"0,125",25,,9,16,3,8,-1,14,2,2,-4,8,-1,5,-3,2d10 + 4,15,0,0,0,0,0,0,0,0,0,0,0,,
Cat,0,10,,12,3,-4,15,2,10,0,3,-4,12,1,7,-2,1d4,2,0,0,0,0,0,0,0,0,0,0,0,,
Centaur,2,450,,12,18,4,14,2,14,2,9,-1,13,1,11,0,6d10 + 12,45,0,0,0,0,0,0,0,0,0,0,0,,
Chimera,6,2300,natural armor,14,19,4,11,0,19,4,3,-4,14,2,10,0,12d10 + 48,114,0,0,0,0,0,0,0,0,0,0,0,,
Cockatrice,"0,5",100,,11,6,-2,12,1,12,1,2,-4,13,1,5,-3,6d6 + 6,27,0,0,0,0,0,0,0,0,0,0,0,,
Constrictor Snake,"0,25",50,,12,15,2,14,2,12,1,1,-5,10,0,3,-4,2d10 + 2,13,0,0,0,0,0,0,0,0,0,0,0,,
Crab,0,10,natural armor,11,2,-4,11,0,10,0,1,-5,8,-1,2,-4,1d4,2,0,0,0,0,0,0,0,0,0,0,0,,
Crocodile,"0,5",100,natural armor,12,15,2,10,0,13,1,2,-4,10,0,5,-3,3d10 + 3,19,0,0,0,0,0,0,0,0,0,0,0,,
Cyclops,6,2300,natural armor,14,22,6,11,0,20,5,8,-1,6,-2,10,0,12d12 + 60,138,0,0,0,0,0,0,0,0,0,0,0,,
Death Dog,1,200,,12,15,2,14,2,14,2,3,-4,13,1,6,-2,6d8 + 12,39,0,0,0,0,0,0,0,0,0,0,0,,
